Model,Dataset Injection,Training Method,Accuracy,Precision,Recall,F1
Flan-T5-small,NL,SFT,0.438423645,0.438546176,0.435594255,0.43515367
Flan-T5-small,NL,ZS,0.399014778,0.295992714,0.382467145,0.266921728
Flan-T5-small,NL,FS,0.39408867,0.367424242,0.376344086,0.254877543
Flan-T5-small,FOL,SFT,0.42364532,0.398323981,0.410822814,0.382790698
Flan-T5-small,FOL,ZS,0.354679803,0.229444444,0.334080048,0.184276018
Flan-T5-small,FOL,FS,0.354679803,0.118226601,0.333333333,0.174545455
Flan-T5-small,NL + FOL,SFT,0.438423645,0.407802993,0.426120721,0.395100069
Flan-T5-small,NL + FOL,ZS,0.354679803,0.118226601,0.333333333,0.174545455
Flan-T5-small,NL + FOL,FS,0.354679803,0.118226601,0.333333333,0.174545455
GPT-2,NL,SFT,0.374384236,0.367504311,0.371389798,0.367749419
GPT-2,NL,ZS,0.275862069,0.281769306,0.288153862,0.249901816
GPT-2,NL,FS,0.339901478,0.113300493,0.333333333,0.169117647
GPT-2,FOL,SFT,0.334975369,0.302156264,0.326054491,0.29020048
GPT-2,FOL,ZS,0.310344828,0.299386703,0.325015584,0.266074995
GPT-2,FOL,FS,0.354679803,0.118226601,0.333333333,0.174545455
GPT-2,NL + FOL,SFT,0.379310345,0.387811037,0.384434575,0.367138476
GPT-2,NL + FOL,ZS,0.315270936,0.544465059,0.333521635,0.249447283
GPT-2,NL + FOL,FS,0.305418719,0.10180624,0.333333333,0.155974843
Phi-3.5-mini-instruct,NL,ZS,0.438,0.53,0.42,0.4
Phi-3.5-mini-instruct,NL,FS,0.271,0.52,0.27,0.27
Phi-3.5-mini-instruct,FOL,ZS,0.355,0.24,0.34,0.25
Phi-3.5-mini-instruct,FOL,FS,0.232,0.37,0.23,0.26
Phi-3.5-mini-instruct,NL + FOL,ZS,0.409,0.51,0.39,0.36
Phi-3.5-mini-instruct,NL + FOL,FS,0.138,0.12,0.14,0.13
Flan-T5-large,NL,SFT,0.472906404,0.33917004,0.339673913,0.33914885
Flan-T5-large,NL,ZS,0.497536946,0.331326081,0.502688172,0.399162432
Flan-T5-large,NL,FS,0.492610837,0.33130957,0.500298686,0.39593026
Flan-T5-large,FOL,SFT,0.325123153,0.209641873,0.232336957,0.208685574
Flan-T5-large,FOL,ZS,0.330049261,0.065807963,0.133256528,0.077917834
Flan-T5-large,FOL,FS,0.354679803,0.210700758,0.335573477,0.201639685
Flan-T5-large,NL + FOL,SFT,0.408866995,0.356628788,0.2915157,0.301736111
Flan-T5-large,NL + FOL,ZS,0.359605911,0.183035714,0.263552867,0.203499598
Flan-T5-large,NL + FOL,FS,0.39408867,0.277301315,0.385304659,0.298946337
Flan-T5-large,MINIFOL,SFT,0.295566502,0.189552239,0.210144928,0.177110915
Flan-T5-large,MINIFOL,ZS,0.349753695,0.077782525,0.101299283,0.07872125
Flan-T5-large,MINIFOL,FS,0.389162562,0.248583878,0.382168459,0.296395392
Flan-T5-small,MINIFOL,SFT,0.359605911,0.200826362,0.262530193,0.190406856
Flan-T5-small,MINIFOL,ZS,0,0,0,0
Flan-T5-small,MINIFOL,FS,0.123152709,0.005476451,0.0041834,0.004743383
Flan-T5-large,TFL,SFT,0.433497537,0.285800137,0.311292271,0.296231376
Flan-T5-large,TFL,ZS,0.354679803,0.118226601,0.333333333,0.174545455
Flan-T5-large,TFL,FS,0.325123153,0.204585538,0.308542413,0.193452981
Flan-T5-small,TFL,SFT,0.359605911,0.342460317,0.347650771,0.30704023
Flan-T5-small,TFL,ZS,0,0,0,0
Flan-T5-small,TFL,FS,0,0,0,0
Flan-T5-large,TFL+,SFT,0.275862069,0.232661732,0.198822464,0.214344071
Gemma-2-2b-it,NL,ZS,0.482758621,0.470482231,0.490149862,0.410674537
Gemma-2-2b-it,NL,FS,0.354679803,0.118226601,0.333333333,0.174545455
Gemma-2-2b-it,TFL,ZS,0.339901478,0.2225,0.241954963,0.186333463
Gemma-2-2b-it,TFL,FS,0.354679803,0.118226601,0.333333333,0.174545455
Gemma-2-2b-it,TFL+,ZS,0.339901478,0.563420901,0.331060724,0.249838508
Gemma-2-2b-it,TFL+,FS,0.354679803,0.118226601,0.333333333,0.174545455
Gemma-2-2b-it,FOL,ZS,0.433497537,0.498921333,0.423348138,0.357417014
Gemma-2-2b-it,FOL,FS,0.354679803,0.118226601,0.333333333,0.174545455
Gemma-2-2b-it,MINIFOL,ZS,0.369458128,0.408119658,0.358481378,0.293707942
Flan-T5-large,CLIF,SFT,0.270935961,0.229732208,0.193085749,0.194922547
Flan-T5-large,CLIF,ZS,0.389162562,0.289980732,0.376941458,0.282845312
Flan-T5-large,CLIF,FS,0.433497537,0.330200719,0.422341697,0.326994006
Flan-T5-large,CGIF,SFT,0.325123153,0.18288776,0.230827295,0.181146789
Flan-T5-large,CGIF,ZS,0.339901478,0.20015949,0.326164875,0.228776371
