Model,Dataset Injection,Training Method,Accuracy,Content Effect,Combined Score,GPU
FOLIO Flan-T5-large,NL,SFT,93.1937,9.5745,27.7491,A100
FOLIO Flan-T5-large,NL + FOL,SFT,90.5759,8.555,27.8091,A100
Flan-T5-large,NL,SFT,90.0524,9.5745,26.8137,A100
Flan-T5-large,NL + FOL,SFT,89.0052,10.6826,25.7382,A100
FOLIO Flan-T5-large,NL + CLIF,SFT,89.0052,13.852,24.0676,A100
Flan-T5-large,NL + FOL + CLIF,SFT,84.2932,10.6826,24.3756,A100
Flan-T5-large,NL + CLINGO,SFT,84.2932,10.7048,24.3622,A100
Flan-T5-large,NL + CLIF,SFT,83.7696,10.7048,24.2109,A100
FOLIO Flan-T5-large,CLIF,SFT,80,50,16.2212,A100
FOLIO Flan-T5-large,CLINGO,SFT,74.3455,16.6667,19.2024,A100
FOLIO Flan-T5-large,CGIF,SFT,69.1099,20.8333,16.9245,A100
Flan-T5-large,CLINGO,SFT,67.5393,23.9583,16.0152,A100
FOLIO Flan-T5-large,FOL,SFT,66.4921,3.5018,26.5494,A100
Flan-T5-large,CGIF,SFT,66.4921,28.125,15.21,A100
Flan-T5-large,CLIF,SFT,65.9686,29.1667,14.9699,A100
Flan-T5-large,MINIFOL2,SFT,64.9215,23.9583,15.3944,A100
Flan-T5-large,FOL + CLIF + CLINGO,SFT,64.3979,27.0833,14.8547,A100
Flan-T5-large,FOL,SFT,61.2565,31.25,13.6931,A100
Flan-T5-large,TFL+,SFT,59.1623,5.8954,20.186,A100
FOLIO Flan-T5-large,TFL+,SFT,58.1152,10.4167,16.9182,A100
FOLIO Flan-T5-large,MINIFOL2,SFT,N/A,N/A,N/A,A100
