Model,Dataset Injection,Training Method,Accuracy,Precision,Recall,F1,GPU
FOLIO-Flan-T5-large,NL + CLIF,SFT,0.951923077,0.95209027,0.951923077,0.951918632,A100
FOLIO-Flan-T5-large,NL,SFT,0.932692308,0.932852386,0.932692308,0.932686084,A100
FOLIO-Flan-T5-large,NL + FOL,SFT,0.923076923,0.925595238,0.923076923,0.922962963,A100
Flan-T5-large,NL,SFT,0.913461538,0.917319895,0.913461538,0.913261051,A100
Flan-T5-large,NL + FOL,SFT,0.913461538,0.913614502,0.913461538,0.913453537,A100
Flan-T5-large,NL + CLIF,SFT,0.884615385,0.889805097,0.884615385,0.884230056,A100
Flan-T5-large,NL + FOL + CLIF,SFT,0.884615385,0.893939394,0.884615385,0.883928571,A100
Flan-T5-large,NL + CLINGO,SFT,0.875,0.876252319,0.875,0.874895901,A100
FOLIO-Flan-T5-large,CLIF,SFT,0.855769231,0.855900851,0.855769231,0.855755895,A100
FOLIO-Flan-T5-large,CLINGO,SFT,0.846153846,0.846666667,0.846153846,0.846096929,A100
FOLIO-Flan-T5-large,FOL,SFT,0.817307692,0.818367347,0.817307692,0.817155547,A100
Flan-T5-large,FOL,SFT,0.807692308,0.811844078,0.807692308,0.807050093,A100
Flan-T5-small,NL,SFT,0.788461538,0.795454545,0.788461538,0.787202381,T4
Flan-T5-large,CLINGO,SFT,0.778846154,0.812215321,0.778846154,0.77277477,A100
Flan-T5-large,CGIF,SFT,0.759615385,0.762038074,0.759615385,0.759058475,A100
FOLIO-Flan-T5-large,CGIF,SFT,0.759615385,0.762038074,0.759615385,0.759058475,A100
FOLIO-Flan-T5-large,MINIFOL2,SFT,0.75,0.75037037,0.75,0.74990751,A100
Flan-T5-large,CLIF,SFT,0.740384615,0.751645374,0.740384615,0.737447405,A100
Flan-T5-large,MINIFOL2,SFT,0.721153846,0.725235405,0.721153846,0.719884833,A100
Flan-T5-large,FOL + CLIF + CLINGO,SFT,0.701923077,0.720250101,0.701923077,0.695590596,A100
Flan-T5-large,TFL+,SFT,0.615384615,0.619815668,0.615384615,0.611795446,A100
FOLIO-Flan-T5-large,TFL+,SFT,0.557692308,0.565546218,0.557692308,0.544033549,A100
